,WaveformDecomposition.stop_methode,WaveformDecomposition.stop_region,WaveformDecomposition.threshold,WaveformDecomposition.fwhm,WaveformDecomposition.search_range,WaveformDecomposition.search_edge,MipTimeRetrieval.pe_hit_time,MipTimeRetrieval.window_length,MipTimeRetrieval.window_threshold,SystematicsStudy.threshold_tres,SystematicsStudy.range_time,SystematicsStudy.start_mpv,SystematicsStudy.window_length_mpv,MPV_1,MPV_2,MPV_3,MPV_4,TRes,TRes_shift
1940,2.0,3.0,3.5,8.0,1000.0,200.0,3.0,36.0,6.0,0.5,4.0,14980.0,275.0,9.535768621168556,11.040716035267147,7.958902333828324,7.0660112361827,0.9864131319865099,-0.07089872995561255
1941,2.0,3.0,3.5,8.0,1000.0,200.0,3.0,36.0,6.0,0.5,6.0,14980.0,275.0,9.535768621168556,11.040716035267147,7.958902333828324,7.0660112361827,0.9991821148621688,-0.03643192491420964
1942,2.0,3.0,3.5,8.0,1000.0,200.0,3.0,36.0,6.0,0.6,4.0,14980.0,275.0,9.535768621168556,11.040716035267147,7.958902333828324,7.0660112361827,1.020844569271743,-0.07819816008110929
1943,2.0,3.0,3.5,8.0,1000.0,200.0,3.0,36.0,6.0,0.6,6.0,14980.0,275.0,9.535768621168556,11.040716035267147,7.958902333828324,7.0660112361827,1.0097690173098792,-0.04116854918864558
1944,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,4.0,1.0,0.4,4.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,0.894027127499652,-0.18331404320193123
1945,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,4.0,1.0,0.4,6.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,0.8723080747819075,-0.18730939853993273
1946,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,4.0,1.0,0.5,4.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,1.0087613629822,-0.22120821875029084
1947,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,4.0,1.0,0.5,6.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,0.7840650806466272,-0.2552028023479522
1948,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,4.0,1.0,0.6,4.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,1.6854229798477196,-0.274322617494763
1949,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,4.0,1.0,0.6,6.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,1.7599822227911253,-0.2866616425378392
1950,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,4.0,2.0,0.4,4.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,0.894027127499652,-0.18331404320193123
1951,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,4.0,2.0,0.4,6.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,0.8723080747819075,-0.18730939853993273
1952,2.0,3.0,4.5,4.0,1000.0,200.0,1.0,4.0,2.0,0.5,4.0,14980.0,275.0,6.419396340473364,3.6437869184042584,5.5776490918392,4.390146932413135,1.0087613629822,-0.22120821875029084
