,SignalTagging.bins_over_threshold,SignalTagging.threshold,SignalTagging.signal_length,WaveformDecomposition.threshold,WaveformDecomposition.fwhm,MipTimeRetrieval.window_length,MipTimeRetrieval.timing_type,MipTimeRetrieval.constant_fraction,MipTimeRetrieval.pe_hit_time,MPV_1,MPV_2,MPV_3,MPV_4,TRes,TRes_shift
62,1.0,11.7,375.0,0.5,6.0,50.0,pe hit time,0.5,3,1.044507596976946,0.8152248709178491,0.8116944876470386,0.9448138300460148,1.0423628894340529,-0.3012373915466574
63,1.0,11.7,375.0,0.5,6.0,66.0,constant fraction,0.1,3,1.0209950996169401,0.8152248710303643,0.8116944874959384,0.9771498225406953,0.9198311170650173,-0.1119713359579076
64,1.0,11.7,375.0,0.5,6.0,66.0,constant fraction,0.2,3,1.0209950996169401,0.8152248710303643,0.8116944874959384,0.9771498225406953,0.9481459099623606,-0.13825535819005116
65,1.0,11.7,375.0,0.5,6.0,66.0,constant fraction,0.3,3,1.0209950996169401,0.8152248710303643,0.8116944874959384,0.9771498225406953,1.0934837277650578,-0.1876050222788219
66,1.0,11.7,375.0,0.5,6.0,66.0,constant fraction,0.5,3,1.0209950996169401,0.8152248710303643,0.8116944874959384,0.9771498225406953,1.5527500899362634,-0.2933324842185716
67,1.0,11.7,375.0,0.5,6.0,66.0,pe hit time,0.5,1,1.0209950996169401,0.8152248710303643,0.8116944874959384,0.9771498225406953,0.9916984856342681,-0.19761996451090388
68,1.0,11.7,375.0,0.5,6.0,66.0,pe hit time,0.5,2,1.0209950996169401,0.8152248710303643,0.8116944874959384,0.9771498225406953,0.9569955740390005,-0.22442164964054473
69,1.0,11.7,375.0,0.5,6.0,66.0,pe hit time,0.5,3,1.0209950996169401,0.8152248710303643,0.8116944874959384,0.9771498225406953,1.0563735044950626,-0.30682474948719957
70,1.0,11.7,375.0,0.5,6.0,72.0,constant fraction,0.1,3,1.0571840945213822,0.8152248710664124,0.8116944875788257,0.9771498226002624,0.9209657082097504,-0.11173075631871972
71,1.0,11.7,375.0,0.5,6.0,72.0,constant fraction,0.2,3,1.0571840945213822,0.8152248710664124,0.8116944875788257,0.9771498226002624,0.9484370241821048,-0.1391522544418648
72,1.0,11.7,375.0,0.5,6.0,72.0,constant fraction,0.3,3,1.0571840945213822,0.8152248710664124,0.8116944875788257,0.9771498226002624,1.0948086893808857,-0.19052728782544381
73,1.0,11.7,375.0,0.5,6.0,72.0,constant fraction,0.5,3,1.0571840945213822,0.8152248710664124,0.8116944875788257,0.9771498226002624,1.5630245139701022,-0.29504819811967176
74,1.0,11.7,375.0,0.5,6.0,72.0,pe hit time,0.5,1,1.0571840945213822,0.8152248710664124,0.8116944875788257,0.9771498226002624,0.9918353730503122,-0.19775172470957725
75,1.0,11.7,375.0,0.5,6.0,72.0,pe hit time,0.5,2,1.0571840945213822,0.8152248710664124,0.8116944875788257,0.9771498226002624,0.9575726804351906,-0.22369091850018644
76,1.0,11.7,375.0,0.5,6.0,72.0,pe hit time,0.5,3,1.0571840945213822,0.8152248710664124,0.8116944875788257,0.9771498226002624,1.0564418557527193,-0.3064787067025427
77,1.0,11.7,375.0,0.5,6.0,92.0,constant fraction,0.1,3,1.0571840945391697,0.8463176862413974,0.8433423912784188,0.9771498226425449,0.9258283169584122,-0.11288517074600683
78,1.0,11.7,375.0,0.5,6.0,92.0,constant fraction,0.2,3,1.0571840945391697,0.8463176862413974,0.8433423912784188,0.9771498226425449,0.9611366895954889,-0.14640308364223295
79,1.0,11.7,375.0,0.5,6.0,92.0,constant fraction,0.3,3,1.0571840945391697,0.8463176862413974,0.8433423912784188,0.9771498226425449,1.108738955216159,-0.19155633920254564
80,1.0,11.7,375.0,0.5,6.0,92.0,constant fraction,0.5,3,1.0571840945391697,0.8463176862413974,0.8433423912784188,0.9771498226425449,1.5812927873711344,-0.3046087634381015
81,1.0,11.7,375.0,0.5,6.0,92.0,pe hit time,0.5,1,1.0571840945391697,0.8463176862413974,0.8433423912784188,0.9771498226425449,0.9986672184371268,-0.2018471511760896
82,1.0,11.7,375.0,0.5,6.0,92.0,pe hit time,0.5,2,1.0571840945391697,0.8463176862413974,0.8433423912784188,0.9771498226425449,0.9642204728717801,-0.22797207017114318
83,1.0,11.7,375.0,0.5,6.0,92.0,pe hit time,0.5,3,1.0571840945391697,0.8463176862413974,0.8433423912784188,0.9771498226425449,1.061337783995964,-0.3091519927967808
84,1.0,11.7,375.0,0.5,8.0,24.0,constant fraction,0.1,3,0.9848061044189034,0.7697181943936956,0.7585694875748671,0.9124778368196074,0.9058374261104556,-0.10071666381642133
85,1.0,11.7,375.0,0.5,8.0,24.0,constant fraction,0.2,3,0.9848061044189034,0.7697181943936956,0.7585694875748671,0.9124778368196074,0.8969020547194172,-0.1387870716904222
86,1.0,11.7,375.0,0.5,8.0,24.0,constant fraction,0.3,3,0.9848061044189034,0.7697181943936956,0.7585694875748671,0.9124778368196074,1.0269518738550516,-0.15148101286735816
87,1.0,11.7,375.0,0.5,8.0,24.0,constant fraction,0.5,3,0.9848061044189034,0.7697181943936956,0.7585694875748671,0.9124778368196074,1.420570592717273,-0.2349794293115829
88,1.0,11.7,375.0,0.5,8.0,24.0,pe hit time,0.5,1,0.9848061044189034,0.7697181943936956,0.7585694875748671,0.9124778368196074,1.0028037242856727,-0.1881521715765663
89,1.0,11.7,375.0,0.5,8.0,24.0,pe hit time,0.5,2,0.9848061044189034,0.7697181943936956,0.7585694875748671,0.9124778368196074,0.9072376562611023,-0.22114923029422495
90,1.0,11.7,375.0,0.5,8.0,24.0,pe hit time,0.5,3,0.9848061044189034,0.7697181943936956,0.7585694875748671,0.9124778368196074,0.9967871490692738,-0.3001407032244498
91,1.0,11.7,375.0,0.5,8.0,36.0,constant fraction,0.1,3,0.9848061044294538,0.7841320554762857,0.7870923912434076,0.944813829773647,0.9287389159313786,-0.12057488076291997
92,1.0,11.7,375.0,0.5,8.0,36.0,constant fraction,0.2,3,0.9848061044294538,0.7841320554762857,0.7870923912434076,0.944813829773647,0.9241046911100216,-0.15552059552511613
93,1.0,11.7,375.0,0.5,8.0,36.0,constant fraction,0.3,3,0.9848061044294538,0.7841320554762857,0.7870923912434076,0.944813829773647,1.0536408691104455,-0.18059684362610107
94,1.0,11.7,375.0,0.5,8.0,36.0,constant fraction,0.5,3,0.9848061044294538,0.7841320554762857,0.7870923912434076,0.944813829773647,1.506453784103959,-0.27698829568549804
95,1.0,11.7,375.0,0.5,8.0,36.0,pe hit time,0.5,1,0.9848061044294538,0.7841320554762857,0.7870923912434076,0.944813829773647,1.021518500693708,-0.20406242503983524
96,1.0,11.7,375.0,0.5,8.0,36.0,pe hit time,0.5,2,0.9848061044294538,0.7841320554762857,0.7870923912434076,0.944813829773647,0.9333503245437811,-0.23367804598580613
