,WaveformDecomposition.stop_methode,WaveformDecomposition.stop_region,WaveformDecomposition.threshold,WaveformDecomposition.fwhm,WaveformDecomposition.search_range,WaveformDecomposition.search_edge,MipTimeRetrieval.pe_hit_time,MipTimeRetrieval.window_length,MipTimeRetrieval.window_threshold,SystematicsStudy.threshold_tres,SystematicsStudy.range_time,MPV_1,MPV_2,MPV_3,MPV_4,TRes,TRes_shift
37,2.0,3.0,1.5,6.0,1000.0,200.0,1.0,4.0,1.0,0.6,6.0,8.901673628113516,5.602033786669091,7.536040940664583,6.780803687444046,0.6706149555023012,-0.39109753611934645
38,2.0,3.0,1.5,6.0,1000.0,200.0,1.0,4.0,2.0,0.5,6.0,8.858858562590314,4.579394205102406,7.786945093544139,6.712335640142095,0.726415501408821,-0.40007802234166584
39,2.0,3.0,1.5,6.0,1000.0,200.0,1.0,4.0,2.0,0.6,6.0,8.858858562590314,4.579394205102406,7.786945093544139,6.712335640142095,0.6706149555023012,-0.39109753611934645
40,2.0,3.0,1.5,6.0,1000.0,200.0,1.0,4.0,3.0,0.5,6.0,9.021904484117316,4.702850962189261,7.383791258267053,6.441387296015585,0.740615413526332,-0.41184402604822445
41,2.0,3.0,1.5,6.0,1000.0,200.0,1.0,4.0,3.0,0.6,6.0,9.021904484117316,4.702850962189261,7.383791258267053,6.441387296015585,0.6983652707013813,-0.40127497318764904
42,2.0,3.0,1.5,6.0,1000.0,200.0,1.0,12.0,1.0,0.5,6.0,13.5000000013265,9.993911801906284,12.155282415830488,10.499291270410067,0.9303616084876326,-0.5849032939374265
43,2.0,3.0,1.5,6.0,1000.0,200.0,1.0,12.0,1.0,0.6,6.0,13.5000000013265,9.993911801906284,12.155282415830488,10.499291270410067,2.1218775434666255,-0.5906634338846584
44,2.0,3.0,1.5,6.0,1000.0,200.0,1.0,12.0,2.0,0.5,6.0,13.500000000454152,9.621825628952367,12.179143273067218,10.503768367003046,0.9303616084876326,-0.5849032939374265
45,2.0,3.0,1.5,6.0,1000.0,200.0,1.0,12.0,2.0,0.6,6.0,13.500000000454152,9.621825628952367,12.179143273067218,10.503768367003046,2.1218775434666255,-0.5906634338846584
46,2.0,3.0,1.5,6.0,1000.0,200.0,1.0,12.0,3.0,0.5,6.0,13.500000001523617,9.659964756829886,11.843556929609313,10.55351680179851,0.9335052916685216,-0.5849708779108984
47,2.0,3.0,1.5,6.0,1000.0,200.0,1.0,12.0,3.0,0.6,6.0,13.500000001523617,9.659964756829886,11.843556929609313,10.55351680179851,2.1207260976453397,-0.5900284508162779
48,2.0,3.0,1.5,6.0,1000.0,200.0,1.0,36.0,1.0,0.5,6.0,16.50000000160796,13.482615214147204,13.500000001475653,13.179291270493993,1.5208438852063175,-0.6122993423739465
49,2.0,3.0,1.5,6.0,1000.0,200.0,1.0,36.0,1.0,0.6,6.0,16.50000000160796,13.482615214147204,13.500000001475653,13.179291270493993,2.2233208079688382,-0.5589781297384456
50,2.0,3.0,1.5,6.0,1000.0,200.0,1.0,36.0,2.0,0.5,6.0,16.50000000067406,13.488564530152198,13.500000001652051,13.180544512739438,1.5208438852063175,-0.6122993423739465
